"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","中區","房地(土地+建物)","臺中市中區成功路３０６巷１０號３樓之１８","3.74","商","1030103","土地1建物1車位0","三層","十六層","套房(1房1廳1衛)","住家用","0821102","43.730000000000004","1","0","1","有","有","1150000","26298","","0",38.46,0,2.32,0
"2","南區","房地(土地+建物)","臺中市南區復興路2段113號12樓之5","11.53","住","1030109","土地2建物1車位0","十二層","十二層","住宅大樓(11層含以上有電梯)","住家用","0710918","82.03999999999999","3","2","1","有","有","2800000","34130","","0",64.77,0,2.25,0
"3","南區","房地(土地+建物)","臺中市南區永東街１３號４樓","35.97","住","1021229","土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","0691230","101.48","4","2","2","有","無","3700000","36460","","0",101.48,0,0,0
"4","中區","房地(土地+建物)","臺中市中區民族路２０７號８樓－１","3.35","商","1021226","土地2建物1車位0","八層","八層","華廈(10層含以下有電梯)","住家用","0710624","31.73","1","0","1","有","有","300000","9455","","0",18.43,7.32,0,0
"5","西區","房地(土地+建物)","臺中市西區柳川東路二段６３巷７號５樓","31.25","住","1021221","土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","0700305","105.35","3","2","2","有","無","3470000","32938","","0",84.82,0,0,0
"6","北屯區","房地(土地+建物)","臺中市北屯區天津路四段１４１之４號","26.0","住","1021206","土地1建物1車位0","五層","七層","華廈(10層含以下有電梯)","住家用","0790510","154.76999999999998","4","2","2","有","有","6800000","43936","","0",100.59,0.62,17.39,0
"7","北屯區","房地(土地+建物)+車位","臺中市北屯區昌平路二段50之6巷2弄33之3號","28.41","住","1021223","土地1建物2車位1","四層","十二層","住宅大樓(11層含以上有電梯)","住家用","0810228","169.13","4","2","2","有","有","7500000","44347","坡道平面","0",99.93,0,10.07,0
"8","北屯區","房地(土地+建物)","臺中市北屯區松竹路二段３３７巷７號","20.81","住","1030111","土地1建物1車位0","一層","七層","華廈(10層含以下有電梯)","住家用","0820317","98.48","4","2","2","有","有","3580000","36353","","0",74.36,7.29,0,0
"9","北屯區","房地(土地+建物)","臺中市北屯區松茂里松竹路二段160巷4弄31號13樓","26.19","住","1021226","土地1建物1車位0","十三層","十三層","住宅大樓(11層含以上有電梯)","住家用","0831005","157.76999999999998","4","2","2","有","有","1800000","11409","","0",91.3,1.59,11.46,0
"10","北屯區","房地(土地+建物)+車位","臺中市北屯區崇德路二段１６８號十三樓之１８","5.98","商","1030115","土地1建物1車位1","十三層","十七層","住宅大樓(11層含以上有電梯)","住家用","0990909","88.8","1","1","1","有","有","6280000","70721","坡道平面","0",33.76,0,7.1,0
