"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","中正區","房地(土地+建物)","臺北市中正區?門街９９巷３５之３號二樓","39.28","住","1030712","土地1建物1車位0","二層","四層","公寓(5樓含以下無電梯)","住家用","0570212","110.11","6","0","6","有","無","18900000","171647","","0",91.68,0,18.43,0
"2","中正區","房地(土地+建物)","臺北市中正區和平西路一段５９號４樓之７","4.43","商","1030712","土地2建物1車位0","四層","十四層","套房(1房1廳1衛)","住家用","0970513","40.61","1","1","1","有","有","11420000","281212","","0",25.19,1.05,0,0
"3","文山區","房地(土地+建物)+車位","臺北市文山區忠順街2段85巷25號3樓","27.56","住","1030527","土地1建物1車位2","三層","十五層","住宅大樓(11層含以上有電梯)","住家用","1020103","235.36","3","2","2","有","有","49950000","230496","坡道平面","5100000",102.99,9.72,22.63,0
"4","文山區","房地(土地+建物)+車位","臺北市文山區忠順街2段85巷25號10樓","27.56","住","1030421","土地1建物1車位2","十層","十五層","住宅大樓(11層含以上有電梯)","住家用","1020103","233.94","3","2","2","有","有","49600000","230379","坡道平面","5100000",102.99,8.73,22.63,0
"5","文山區","房地(土地+建物)+車位","臺北市文山區忠順街2段85巷29號13樓","21.11","住","1030521","土地1建物1車位2","十三層","十五層","住宅大樓(11層含以上有電梯)","住家用","1020103","184.62","2","2","2","有","有","38300000","236374","坡道平面","4300000",84.03,6.51,9.52,0
"6","文山區","房地(土地+建物)","臺北市文山區景豐街２９號四樓","29.25","住","1030701","土地2建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","","92.64","3","2","1","有","無","14400000","155440","","0",76.35,0,16.29,0
"7","中正區","房地(土地+建物)","臺北市中正區牯嶺街１２５號二樓","16.23","住","1030429","土地2建物1車位0","二層","七層","華廈(10層含以下有電梯)","住家用","0730403","81.97999999999999","2","2","2","有","無","12000000","146377","","0",63.42,0,7.25,0
"8","中正區","房地(土地+建物)+車位","臺北市中正區師大路２１２號九樓","25.15","住","1030623","土地1建物1車位1","九層","十三層","住宅大樓(11層含以上有電梯)","住家用","0991027","213.54","3","2","3","有","有","40000000","187319","升降機械","0",105.56,6.26,13.23,0
"9","萬華區","房地(土地+建物)","臺北市萬華區昆明街141號6樓之2","4.96","商","1030623","土地2建物1車位0","六層","九層","套房(1房1廳1衛)","住家用","0690915","34.05","1","0","1","有","無","5900000","173275","","0",22.43,0,0,0
"10","萬華區","房地(土地+建物)+車位","臺北市萬華區和平西路三段２８６巷１弄２號３樓之１","28.82","其他","1030608","土地1建物1車位1","三層","八層","華廈(10層含以下有電梯)","住家用","0981001","165.16","3","2","2","有","有","24300000","147130","升降平面","0",81.46,5.18,10.21,0
"11","大同區","房地(土地+建物)","臺北市大同區承德路3段51巷17號3樓","26.8","商","1030704","土地3建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0660817","102.36","4","2","2","有","無","16250000","158753","","0",93.09,0,9.27,0
"12","萬華區","房地(土地+建物)+車位","臺北市萬華區內江街４９號１１樓","4.96","商","1030722","土地1建物1車位1","十一層","十三層","住宅大樓(11層含以上有電梯)","住家用","1020914","90.75","0","0","0","無","有","12100000","133333","升降機械","0",25.09,0.42,9.45,0
"13","萬華區","房地(土地+建物)+車位","臺北市萬華區萬大路423巷52號九樓之2","40.52","住","1030703","土地4建物1車位1","九層","十四層","住宅大樓(11層含以上有電梯)","住家用","0970103","189.3","3","2","2","有","有","18500000","97728","坡道平面","0",103.07,0,9.77,0
"14","中山區","房地(土地+建物)","臺北市中山區農安街２８之１號十一樓之１、十一樓之２","6.24","商","1030714","土地1建物1車位0","十一層","十一層","住宅大樓(11層含以上有電梯)","住家用","0690821","59.56999999999999","2","1","1","有","有","11250000","188853","","0",37.88,0,4.78,0
"15","中山區","房地(土地+建物)","臺北市中山區德惠街５２號六樓之１０","2.71","商","1030703","土地1建物1車位0","六層","十一層","套房(1房1廳1衛)","住家用","0710227","29.63","1","1","1","有","有","4950000","167060","","0",21.86,0,3.59,0
"16","內湖區","房地(土地+建物)+車位","臺北市內湖區康寧路一段２６７號７樓之２","54.02","住","1030601","土地1建物1車位1","七層","十一層","住宅大樓(11層含以上有電梯)","住家用","0940715","189.79000000000002","3","2","2","有","有","31100000","163865","坡道平面","0",102.72,0,11.34,0
"17","內湖區","房地(土地+建物)+車位","臺北市內湖區文德路273號11樓之1","24.91","住","1030619","土地2建物1車位1","十一層","十四層","住宅大樓(11層含以上有電梯)","住家用","0961130","156.39","3","2","2","有","有","32800000","209732","坡道平面","0",76.36,3.79,7.78,0
