"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","板橋區","房地(土地+建物)","新北市板橋區金門街２４號七樓之一","13.91","住","1060405","土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","0850322","79.13","5","2","2","有","有","7500000","94781","","0",52.14,0.3,5.48,0
"2","土城區","房地(土地+建物)","新北市土城區廣明街６３巷３號三樓","16.12","商","1060203","土地1建物1車位0","三層，陽台","五層","公寓(5樓含以下無電梯)","住家用","0680327","73.07","3","2","1","有","無","6300000","86219","","0",73.07,0,0,0
"3","板橋區","房地(土地+建物)","新北市板橋區重慶路３００號六樓","13.15","商","1060323","土地1建物1車位0","六層","九層","華廈(10層含以下有電梯)","住家用","0890818","120.95","3","2","1","有","有","13200000","109136","","0",86.83,0,14.26,0
"4","板橋區","房地(土地+建物)","新北市板橋區金華街１０巷８２之３號","31.75","住","1060319","土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","0631021","71.54","3","2","1","有","無","7500000","104836","","0",71.54,0,0,0
"5","板橋區","房地(土地+建物)","新北市板橋區民權路２５７之４號","8.4","住","1060331","土地1建物1車位0","五層，陽台","五層","公寓(5樓含以下無電梯)","住家用","0670117","33.8","3","1","1","有","無","5200000","153846","","0",33.81,0,0,0
"6","土城區","房地(土地+建物)","新北市土城區裕民路266號3樓","31.93","住","1060326","土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0750913","103.74","3","2","2","有","無","8950000","86273","","0",95.94,0,7.8,0
"7","板橋區","房地(土地+建物)","新北市板橋區南雅西路一段１０巷１２弄２之１號","50.75","住","1060416","土地2建物1車位0","二層，陽台","四層","公寓(5樓含以下無電梯)","住家用","","86.78","3","2","1","有","無","8700000","100254","","0",86.78,0,0,0
"8","土城區","房地(土地+建物)","新北市土城區學成路１６１號","27.64","住","1060404","土地2建物1車位0","一層","五層","套房(1房1廳1衛)","住家用","0701222","83.89","6","0","6","有","無","10800000","128740","","0",72.94,10.95,0,0
"9","土城區","房地(土地+建物)","新北市土城區明德路一段２０巷１弄１６號四樓","20.35","住","1060406","土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","0701221","74.16","0","0","0","無","無","6200000","83603","","0",62.36,0,11.8,0
"10","板橋區","房地(土地+建物)+車位","新北市板橋區金門街５６號四樓","17.11","住","1060318","土地1建物1車位1","四層","十三層","住宅大樓(11層含以上有電梯)","住家用","0920609","135.9","3","2","2","有","有","10060000","74025","坡道平面","0",64.93,3.3,8.19,0
"11","板橋區","房地(土地+建物)","新北市板橋區大明街６３巷１弄３８之３號","23.8","住","1060330","土地1建物1車位0","四層，陽台","五層","公寓(5樓含以下無電梯)","住家用","","71.98","3","1","1","有","無","8300000","115310","","0",71.98,0,0,0
"12","土城區","房地(土地+建物)","新北市土城區明德路一段２０巷１弄１４號三樓","20.35","住","1060313","土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0701221","74.16","3","2","1","有","無","6800000","91694","","0",62.36,0,11.8,0
"13","土城區","房地(土地+建物)","新北市土城區青雲路４８３巷１１弄２號４樓","23.33","住","1060411","土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","0710217","97.24","3","1","1","有","無","5800000","59646","","0",79.98,0,17.26,0
"14","板橋區","房地(土地+建物)","新北市板橋區文化路二段１１１之７號二十一樓","21.12","住","1060322","土地1建物1車位0","二十一層","二十四層","住宅大樓(11層含以上有電梯)","住家用","1040206","239.29","4","2","2","有","有","39980000","167078","","0",138.85,4.83,18.27,0
"15","新莊區","房地(土地+建物)","新北市新莊區中港路206巷5號4樓","33.98","住","1060318","土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","0770730","119.91","3","2","2","有","無","9000000","75056","","0",103.44,0,8.5,0
"16","五股區","房地(土地+建物)","新北市五股區四維路１６１號","137.84","商","1060320","土地3建物1車位0","全","三層","透天厝","住家用","","211.5","5","3","5","有","無","28000000","132388","","0",211.5,0,0,0
"17","五股區","房地(土地+建物)","新北市五股區成泰路三段５７７巷８０弄６９號五樓","34.85","住","1060316","土地2建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","0760921","115.47","3","2","2","有","無","6700000","58024","","0",99.97,0,15.5,0
"18","新莊區","房地(土地+建物)","新北市新莊區八德街１７號四樓","26.01","住","1060329","土地1建物1車位0","四層","七層","華廈(10層含以下有電梯)","住家用","0830616","143.68","5","0","5","有","有","12800000","89087","","0",102.87,1.87,11.75,0
"19","新莊區","房地(土地+建物)","新北市新莊區四維路２０７巷２號五樓","25.41","住","1060307","土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","0751114","96.83","3","1","1","有","無","6800000","70226","","0",82.74,0,14.09,0
"20","新莊區","房地(土地+建物)","新北市新莊區民安西路２１２巷１６弄３號六樓","20.5","住","1060329","土地1建物1車位0","六層","八層","華廈(10層含以下有電梯)","住家用","0840815","120.49000000000001","3","2","2","有","有","9000000","74695","","0",85.03,1.54,9.83,0
"21","新莊區","房地(土地+建物)+車位","新北市新莊區新樹路６２９之８號七樓","26.31","商","1060329","土地1建物1車位1","七層","十五層","住宅大樓(11層含以上有電梯)","住家用","0970424","196.99","4","2","2","有","有","15000000","76146","坡道平面","0",105.36,0.92,11.31,0
"22","新店區","房地(土地+建物)","新北市新店區寶元路一段７４巷５號","34.56","住","1060418","土地1建物1車位0","一層","四層","公寓(5樓含以下無電梯)","住家用","0690205","77.49","2","1","2","有","無","5102808","65851","","0",77.49,0,0,0
"23","新店區","房地(土地+建物)+車位","新北市新店區寶慶街12號29樓之3","8.11","住","1060119","土地1建物1車位1","二十九層","二十九層","住宅大樓(11層含以上有電梯)","住家用","0890203","120.38","2","2","1","有","有","15360000","127596","坡道平面","0",59.18,0,4.31,0
"24","新店區","房地(土地+建物)+車位","新北市新店區環河路1之5號10樓","15.28","住","1060323","土地5建物1車位1","十層","十二層","住宅大樓(11層含以上有電梯)","住家用","1021009","122.97999999999999","2","2","1","有","有","15500000","126037","升降平面","0",51.83,4.49,6.05,0
"25","新店區","房地(土地+建物)","新北市新店區寶元路二段１６巷３號四樓","4.98","住","1060410","土地2建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","0571222","13.85","3","1","1","有","無","1800000","129964","","0",13.85,0,0,0
"26","汐止區","房地(土地+建物)+車位","新北市汐止區大同路三段６１３號２３樓","8.79","住","1060411","土地1建物1車位1","二十三層","三十三層","住宅大樓(11層含以上有電梯)","住家用","0880203","115.44999999999999","2","2","1","有","有","5100000","44175","坡道機械","0",63.48,0,7.79,0
