"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","鼓山區","房地(土地+建物)","高雄市鼓山區九如四路１９９０巷１弄３號五樓之１","15.55","住","1060712","土地1建物1車位0","五層","十二層","住宅大樓(11層含以上有電梯)","住家用","0710317","73.59","3","2","2","有","有","4000000","54355","","0",73.59,0,0,0
"2","鼓山區","房地(土地+建物)+車位","高雄市鼓山區龍水二路２８號二十一樓","30.91","住","1060720","土地1建物1車位1","二十一層","二十九層","住宅大樓(11層含以上有電梯)","住家用","1031212","362.36","4","3","2","有","有","30100000","83067","坡道平面","0",201,9.74,22.13,0
"3","鼓山區","房地(土地+建物)+車位","高雄市鼓山區美術北三路１１１號１５樓","21.07","商","1060527","土地1建物1車位1","十五層","十五層","住宅大樓(11層含以上有電梯)","住家用","0950808","208.62","4","2","2","有","有","12900000","57249","坡道平面","1800000",118.97,0.79,16.79,0
"4","鼓山區","房地(土地+建物)","高雄市鼓山區龍勝路１５２號十樓","7.75","商","1060710","土地1建物1車位0","十層","十五層","住宅大樓(11層含以上有電梯)","住家用","0950809","79.58","2","1","1","有","有","4850000","60945","","0",48.92,1.02,4.22,0
"5","鼓山區","房地(土地+建物)","高雄市鼓山區建榮路５１巷３４號","69.0","住","1060702","土地1建物1車位0","全","二層","透天厝","住家用","0570320","89.99","6","2","2","有","無","3150000","35004","","0",89.99,0,0,0
"6","鼓山區","房地(土地+建物)+車位","高雄市鼓山區文信路２１１號十三樓","20.08","住","1060615","土地1建物1車位2","十三層","二十八層","住宅大樓(11層含以上有電梯)","住家用","1031006","347.55","4","2","2","有","有","32170000","92562","坡道平面","0",181.66,3.74,16.93,0
"7","鼓山區","房地(土地+建物)","高雄市鼓山區裕國街８３號九樓","10.12","住","1060624","土地1建物1車位0","九層","十五層","住宅大樓(11層含以上有電梯)","住家用","0950316","88.5","3","1","1","有","有","5500000","62147","","0",53.21,1.42,6.51,0
"8","旗津區","房地(土地+建物)","高雄市旗津區敦和街２巷８２弄２２號","76.5","住","1060701","土地3建物1車位0","全","二層","透天厝","住家用","0720720","105.43","5","2","3","有","無","5160000","48942","","0",94.56,0,10.86,0
"9","鼓山區","房地(土地+建物)","高雄市鼓山區昌盛路１６號二樓","7.55","住","1060709","土地1建物1車位0","二層","十四層","住宅大樓(11層含以上有電梯)","住家用","0880930","70.63","2","1","1","有","有","4050000","57341","","0",46.68,1.35,4.36,0
"10","鼓山區","房地(土地+建物)+車位","高雄市鼓山區美術東四路３７７號十三樓","24.27","住","1060703","土地1建物1車位1","十三層","二十四層","住宅大樓(11層含以上有電梯)","住家用","1030212","251.28","4","2","2","有","有","18680000","74339","坡道平面","0",131.09,0,13.41,0
"11","鼓山區","房地(土地+建物)+車位","高雄市鼓山區龍水二路１１５號十四樓","24.34","住","1060626","土地1建物1車位1","十四層","二十四層","住宅大樓(11層含以上有電梯)","住家用","1040513","265.53","4","2","2","有","有","20550000","77392","坡道平面","0",145.7,0,14.81,0
"12","鼓山區","房地(土地+建物)+車位","高雄市鼓山區龍水二路１１５號十樓","24.34","住","1060707","土地1建物1車位1","十層","二十四層","住宅大樓(11層含以上有電梯)","住家用","1040513","265.53","4","2","2","有","有","20380000","76752","坡道平面","0",145.7,0,14.81,0
"13","鼓山區","房地(土地+建物)+車位","高雄市鼓山區龍水二路１１３號十二樓","24.81","住","1060707","土地1建物1車位1","十二層","二十四層","住宅大樓(11層含以上有電梯)","住家用","1040513","270.91","4","2","2","有","有","20660000","76261","坡道平面","0",149.07,0,15.05,0
"14","鼓山區","房地(土地+建物)","高雄市鼓山區鼓山一路１３７號二樓","9.68","住","1060719","土地2建物1車位0","二層","十九層","住宅大樓(11層含以上有電梯)","住家用","1000120","98.58000000000001","2","2","1","有","有","5750000","58328","","0",62.73,0,7.25,0
"15","鼓山區","房地(土地+建物)+車位","高雄市鼓山區龍水二路１０５號十五樓","26.21","住","1060712","土地1建物1車位2","十五層","二十四層","住宅大樓(11層含以上有電梯)","住家用","1040513","306.11","4","2","2","有","有","19280000","62984","坡道平面","0",158.54,0,15.57,0
"16","苓雅區","房地(土地+建物)","高雄市苓雅區武廟路７３號１２樓之３","8.62","商","1060706","土地1建物1車位0","十二層","十二層","住宅大樓(11層含以上有電梯)","住家用","0711117","110.44999999999999","3","2","2","有","有","4000000","36215","","0",72.25,9.64,11.49,0
"17","新興區","房地(土地+建物)","高雄市新興區中正三路６８之５號９樓之４","2.87","商","1060713","土地1建物1車位0","九層","十二層","套房(1房1廳1衛)","住家用","0821005","33.660000000000004","1","1","1","有","有","1450000","43078","","0",23.93,0.74,0,0
"18","新興區","房地(土地+建物)+車位","高雄市新興區復興一路９０號１９樓之３","14.0","住","1060615","土地1建物1車位1","十九層","二十四層","住宅大樓(11層含以上有電梯)","住家用","0860120","248.37","4","2","3","有","有","10700000","43081","坡道平面","0",134.18,1.54,17.93,0
"19","新興區","房地(土地+建物)+車位","高雄市新興區自立二路９８號六樓","12.94","商","1060717","土地1建物1車位1","六層","十五層","住宅大樓(11層含以上有電梯)","住家用","1050617","185.91000000000003","3","2","2","有","有","13900000","74767","坡道平面","0",80.26,2.78,11.64,0
"20","前鎮區","房地(土地+建物)","高雄市前鎮區文橫三路５９號九樓之１５","3.91","商","1060721","土地1建物1車位0","九層","十四層","住宅大樓(11層含以上有電梯)","住家用","0860227","35.62","1","1","1","有","有","1550000","43515","","0",20.81,0,3.52,0
"21","前鎮區","房地(土地+建物)+車位","高雄市前鎮區翠亨北路３９９巷１０號１１樓","14.07","商","1060711","土地1建物1車位1","十一層","十八層","住宅大樓(11層含以上有電梯)","住家用","0960920","138.6","2","2","2","有","有","6500000","44996","坡道機械","700000",75.58,6.65,5.69,0
"22","小港區","房地(土地+建物)","高雄市小港區大鵬路１２１號十八樓","11.83","商","1060707","土地2建物1車位0","十八層，夾層","十八層","住宅大樓(11層含以上有電梯)","住家用","0831216","192.61","4","2","2","有","有","6000000","31151","","0",108.34,33.06,4.18,0
"23","三民區","房地(土地+建物)+車位","高雄市三民區義明街１３之１號五樓","7.59","商","1060705","土地1建物1車位1","五層","二十四層","住宅大樓(11層含以上有電梯)","住家用","0900418","94.5","2","1","1","有","有","4300000","45503","坡道機械","0",49.69,2.97,3.57,0
"24","三民區","房地(土地+建物)","高雄市三民區民族一路５４３巷２７號８樓","12.49","住","1060620","土地1建物1車位0","八層","十四層","住宅大樓(11層含以上有電梯)","住家用","0860124","114.76","3","2","2","有","有","4800000","41826","","0",77.03,1.17,9.42,0
"25","楠梓區","房地(土地+建物)","高雄市楠梓區壽豐路３４６號","83.5","住","1060724","土地1建物1車位0","全","三層","透天厝","住家用","0770708","126.34","4","2","2","有","無","5000000","39576","","0",120.73,0,5.61,0
"26","岡山區","房地(土地+建物)","高雄市岡山區大義二路３１３巷４號","73.0","商","1060630","土地1建物1車位0","全","二層","透天厝","住家用","0610925","91.27","3","2","2","有","無","4200000","46017","","0",91.27,0,0,0
"27","岡山區","房地(土地+建物)+車位","高雄市岡山區久和路２６號六樓","18.03","住","1060701","土地2建物1車位1","六層","十二層","住宅大樓(11層含以上有電梯)","住家用","0861110","124.37","4","2","2","有","有","4300000","34574","坡道機械","0",81.09,0.59,11.96,0
"28","永安區","房地(土地+建物)","高雄市永安區維新路光明三巷76號","90.32","","1060703","土地2建物1車位0","全","三層","透天厝","住家用","0810728","144.55","4","1","3","有","無","2650000","18333","","0",136.97,0,7.58,0
"29","鳳山區","房地(土地+建物)","高雄市鳳山區國泰路二段４５巷２之３號","26.9","住","1060627","土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","0701230","73.65","3","2","2","有","無","3100000","42091","","0",73.65,0,0,0
"30","鳳山區","房地(土地+建物)+車位","高雄市鳳山區善和街２５號十八樓","6.61","商","1060714","土地1建物1車位1","十八層","二十一層","住宅大樓(11層含以上有電梯)","住家用","0850105","115.41999999999999","3","2","2","有","有","4250000","36822","坡道機械","0",65.15,0,9.92,0
"31","鳳山區","房地(土地+建物)","高雄市鳳山區建國路二段73號","27.53","住","1060702","土地1建物2車位0","十一層","十二層","住宅大樓(11層含以上有電梯)","住家用","0890520","149.7","3","2","2","有","有","4780000","31931","","0",81.29,0,9.21,0
"32","鳳山區","房地(土地+建物)","高雄市鳳山區國昌路３巷１０之４號","27.0","住","1060710","土地0建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","0691222","73.53","3","2","2","有","無","2000000","27200","","0",73.53,0,0,0
"33","鳳山區","房地(土地+建物)+車位","高雄市鳳山區文建街２４９號十六樓","9.83","住","1060619","土地1建物1車位1","十六層","二十五層","住宅大樓(11層含以上有電梯)","住家用","0840722","146.0","3","2","2","有","有","5100000","34932","坡道平面","0",86.06,0,18.15,0
"34","鳳山區","房地(土地+建物)+車位","高雄市鳳山區新生街一段６３之４號五樓","22.96","住","1060604","土地1建物1車位1","五層","七層","華廈(10層含以下有電梯)","住家用","0810407","134.55","3","2","2","有","無","4430000","32925","坡道平面","0",81,0,9.74,0
"35","鳳山區","房地(土地+建物)","高雄市鳳山區文衡路277號七樓","13.98","住","1060711","土地1建物1車位0","七層","十五層","住宅大樓(11層含以上有電梯)","住家用","0811130","112.17999999999999","3","1","2","有","有","4600000","41006","","0",78.98,0.92,10.42,0
"36","鳳山區","房地(土地+建物)+車位","高雄市鳳山區瑞春街１４巷４６號七樓","25.79","住","1060705","土地2建物1車位1","七層","十層","華廈(10層含以下有電梯)","住家用","0840418","150.73000000000002","4","2","2","有","有","6200000","41133","坡道機械","0",96.25,1.21,12.08,0
"37","鳳山區","房地(土地+建物)","高雄市鳳山區建國路三段２０９巷１９弄４之４號","26.0","住","1060630","土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","0730425","70.0","3","2","2","有","無","1000000","14286","","0",68,0,2,0
