"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","桃園區","房地(土地+建物)+車位","桃園市桃園區正光路183號21樓","41.3","住","1081231","土地1建物1車位2","二十一層","二十四層","住宅大樓(11層含以上有電梯)","住家用","1070507","316.24","3","2","3","有","有","31500000","105208","坡道平面","3500000",162.12,4.23,16.05,0
"2","桃園區","房地(土地+建物)","桃園市桃園區三民路一段１７５號十一樓","12.26","住","1090130","土地1建物1車位0","十一層","十五層","住宅大樓(11層含以上有電梯)","住家用","0840105","115.3","3","1","2","有","無","6300000","54640","","0",86.64,6.37,9.57,0
"3","桃園區","房地(土地+建物)+車位","桃園市桃園區莊一街９６號四樓","25.49","住","1090106","土地1建物2車位1","四層","十六層","住宅大樓(11層含以上有電梯)","住家用","0810820","192.31","4","2","2","有","有","9550000","49657","坡道平面","0",140.21,0,17.83,0
"4","桃園區","房地(土地+建物)+車位","桃園市桃園區中埔六街１５５號十二樓","18.98","住","1081223","土地1建物1車位1","十二層","十二層","住宅大樓(11層含以上有電梯)","住家用","0930723","130.38","3","2","2","有","有","9800000","75165","坡道平面","0",67.62,2.25,8.02,0
"5","桃園區","房地(土地+建物)+車位","桃園市桃園區正光路207號五樓","30.19","住","1080903","土地1建物1車位1","五層","十三層","住宅大樓(11層含以上有電梯)","住家用","1081101","209.35000000000002","3","2","2","有","有","19700000","112283","坡道平面","1500000",99.16,0,10.6,0
"6","桃園區","房地(土地+建物)+車位","桃園市桃園區正光路207號六樓","30.6","住","1090103","土地1建物1車位2","六層","十三層","住宅大樓(11層含以上有電梯)","住家用","1081101","256.61","3","2","2","有","有","17960000","91061","坡道平面","3200000",99.16,0,10.6,0
"7","桃園區","房地(土地+建物)+車位","桃園市桃園區正光路207號七樓","30.19","住","1080716","土地1建物1車位1","七層","十三層","住宅大樓(11層含以上有電梯)","住家用","1081101","209.35000000000002","3","2","2","有","有","17520000","98834","坡道平面","1500000",99.16,0,10.6,0
"8","桃園區","房地(土地+建物)+車位","桃園市桃園區正光路203巷10號八樓","24.65","住","1071227","土地1建物1車位1","八層","十三層","住宅大樓(11層含以上有電梯)","住家用","1081101","177.76999999999998","3","2","2","有","有","13370000","90951","坡道平面","1500000",80.09,0,9.33,0
"9","桃園區","房地(土地+建物)+車位","桃園市桃園區同德三街３１號七樓","46.5","住","1090105","土地1建物1車位2","七層","十層","華廈(10層含以下有電梯)","住家用","1020319","309.67","3","2","2","有","有","21370000","69009","坡道平面","0",137.71,0,15.03,0
"10","桃園區","房地(土地+建物)+車位","桃園市桃園區同德三街３３號七樓","48.32","住","1090108","土地1建物1車位3","七層","十層","華廈(10層含以下有電梯)","住家用","1020319","357.03","3","2","2","有","無","22580000","63244","坡道平面","0",140.64,0,15.29,0
