"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","柳營區","房地(土地+建物)","臺南市柳營區小腿３６號之１５","77.0","","1110204","土地1建物1車位0","全","二層","透天厝","住家用","0781228","98.49","4","1","2","有","無","2580000","26196","","0",95.04,0,3.45,"無"
"2","中西區","房地(土地+建物)","臺南市中西區府緯街７２巷５號","29.61","住","1110208","土地1建物1車位0","全","三層","透天厝","住家用","0681102","61.38","4","2","3","有","無","3000000","48876","","0",61.39,0,0,"無"
"3","永康區","房地(土地+建物)","臺南市永康區中華二路２６６巷３０號三樓之１","4.94","住","1110212","土地1建物1車位0","三層","七層","華廈(10層含以下有電梯)","住家用","0870602","31.44","1","1","1","有","有","2100000","66794","","0",16.99,0,5.72,"有"
"4","北區","房地(土地+建物)+車位","臺南市北區海成街１７號二樓之２","17.08","住","1110209","土地1建物1車位1","二層","七層","華廈(10層含以下有電梯)","住家用","0851011","124.6","2","1","2","有","有","3600000","28892","坡道平面","0",69.49,0,7.84,"有"
"5","安平區","房地(土地+建物)","臺南市安平區建平六街８０巷１１５號五樓之７","9.64","住","1110213","土地2建物1車位0","五層","六層","華廈(10層含以下有電梯)","住家用","0800202","43.47","1","1","1","有","有","2300000","52910","","0",26.94,0,2.21,"有"
"6","中西區","房地(土地+建物)","臺南市中西區忠明街４９號四樓之７","4.62","商","1110211","土地1建物1車位0","四層","六層","華廈(10層含以下有電梯)","住家用","0800903","25.229999999999997","1","1","1","有","有","1200000","47562","","0",17.81,0,0,"有"
"7","北區","房地(土地+建物)","臺南市北區東豐路２２７巷２４弄１５號二樓之２８","12.72","住","1110210","土地1建物2車位0","二層，通道","五層","華廈(10層含以下有電梯)","住家用","0790518","49.26","1","0","1","有","有","2535000","51462","","0",36.48,5.07,0,"有"
"8","北區","房地(土地+建物)","臺南市北區東豐路２２７巷２４弄１５號二樓之２６","12.72","住","1110210","土地1建物2車位0","二層，通道","五層","華廈(10層含以下有電梯)","住家用","0790518","50.15","1","0","1","有","有","2535000","50548","","0",36.12,5.02,9,"有"
"9","中西區","房地(土地+建物)","臺南市中西區信義街１０８巷５５號四樓之３","3.08","住","1110207","土地2建物1車位0","四層","五層","華廈(10層含以下有電梯)","住家用","0820515","17.79","1","0","1","有","無","1120000","62957","","0",10.32,1.98,3.18,"有"
"10","南區","房地(土地+建物)","臺南市南區南明街４３號四樓之４","8.6","住","1110208","土地1建物1車位0","四層","六層","華廈(10層含以下有電梯)","住家用","0790827","39.34","1","0","1","有","無","1950000","49568","","0",23.8,0,2.7,"有"
